Title,actor,action,action direction,headline stance,
The Battle Against Critical Race Theory,none / other,none/other,anti-CRT,neutral,
Youd better believe theyre teaching CRT in schools,educational practitioners,threats/extent,defending CRT,anti-CRT,
Opinion | Let Talk About Critical Race Theory Bans in Schools,none / other,policy & legal,anti-CRT,neutral,
Senate passes CRT Bill,political influencers,policy & legal,anti-CRT,neutral,
Tennessee bans teaching of critical race theory in schools,political influencers,policy & legal,anti-CRT,neutral,
Number of teachers pledging to teach Critical Race Theory in Surprise stagnates at two,educational practitioners,protest / speaking out,anti-CRT,neutral,
Nebraska governor backs university anti - CRT resolution amid backlash,political influencers,protest / speaking out,anti-CRT,neutral,
The Push Against Teaching Critical Race Theory in Schools is Growing,none / other,protest / speaking out,anti-CRT,neutral,
Critical Race Theory Mississippi,none / other,none/other,neutral,neutral,
Scholar : The fight against CRT is one of national survival,none / other,threats/extent,anti-CRT,anti-CRT,
No new teachers in Downers Grove sign pledge on Sept . 19 to teach Critical Race Theory,educational practitioners,protest / speaking out,anti-CRT,anti-CRT,
Critical race theory in the schools,none / other,none/other,neutral,neutral,
Concerns About Critical Race Theory At The School Board Meeting,political influencers,threats/extent,anti-CRT,neutral,
Critical Race Theory Investigator Christopher Rufo :  This Is How the Media Lies,none / other,threats/extent,anti-CRT,anti-CRT,
General Milley is clueless on critical race theory,political influencers,threats/extent,defending CRT,defending CRT,
Teachers Unions Push CRT in Schools,educational practitioners,protest / speaking out,defending CRT,neutral,
Department of Education wisely retreats from critical race theory,political influencers,policy & legal,anti-CRT,anti-CRT,
What to look for in a CRT monitor : The ultimate guide for retro gamers,none / other,none/other,neutral,neutral,
Letter : A response to letter about Critical Race Theory,none / other,none/other,neutral,neutral,
LETTERS TO THE EDITOR : Lies about Critical Race Theory,none / other,none/other,neutral,neutral,not sure if the lies are for or against CRT 
Here What You Need To Know About A Texas Bill That Aims To Ban Critical Race Theory,none / other,policy & legal,neutral,neutral,
Freddie Mac CRT Program Reports 2021 Issuance Of Nearly $20B,none / other,none/other,neutral,neutral,irrelevant 
Critical Race Theory Is a Potent Issue in the Virginia Governor Race,political influencers,elections,neutral,neutral,
Critical Race Theory Bill Introduced In Senate,political influencers,policy & legal,neutral,neutral,
Ann Coulter : What Dumber Than CRT ? CNN,political influencers,protest / speaking out,anti-CRT,anti-CRT,felt like an opinion but she is speaking out 
Wisconsin assembly passes bill banning critical race theory in the classroom,political influencers,policy & legal,anti-CRT,neutral,
No new teachers in Glen Ellyn sign pledge on Oct . 19 to teach Critical Race Theory,educational practitioners,threats/extent,anti-CRT,neutral,extent
"WATCH : Parents , Activists Protest CRT at Texas School Board Meeting",impacted actors,protest / speaking out,anti-CRT,neutral,
CRT In the Legislature,none / other,policy & legal,neutral,neutral,
Critical Race Theory not taught in some local school districts,educational practitioners,threats/extent,anti-CRT,neutral,
How a Texas school got caught up the critical race theory fight,educational practitioners,policy & legal,neutral,neutral,doesnt mention whether for or against
COMMENTARY : The truth about CRT,none / other,none/other,neutral,neutral,
Some Schools Pay to Push CRT Curriculum at the Literal Expense of Everything Else,educational practitioners,threats/extent,anti-CRT,anti-CRT,
Ted Cruz questions Ketanji Brown Jackson about  critical race theory,political influencers,none/other,anti-CRT,neutral,similar/ headline stance is different this time- questions vs grilled 
Biden Ed . Dept : Pushing CRT activist handbook was an  error  | Politics News,political influencers,none/other,anti-CRT,anti-CRT,
Nick Reed PODCAST : 07 . 23 – CRT Popping Up In More MO Schools,none / other,threats/extent,defending CRT,neutral,
The Left Assault on  Racist  Math Continues : DeSantis Rejects CRT - Riddled Textbooks,political influencers,threats/extent,anti-CRT,anti-CRT,
Indiana school administrator : Youd better believe we teach CRT -- and lie to parents about it,educational practitioners,threats/extent,defending CRT,anti-CRT,
"Lawmakers : COVID relief funds paid for  equity warriors , CRT lessons in public schools | Latest News",political influencers,threats/extent,defending CRT,anti-CRT,repeat
So What The Deal With Critical Race Theory,none / other,none/other,neutral,neutral,
COMMENTARY : The truth about CRT,none / other,none/other,neutral,neutral,
McAuliffe cant define CRT but calls opponents  racist,political influencers,elections,anti-CRT,anti-CRT,
Bill banning critical race theory in school advances,none / other,policy & legal,anti-CRT,neutral,
"CURRICULUM CONTROVERSY : District responds to claims it will implement CRT , gender identity lessons",political influencers,threats/extent,defending CRT,anti-CRT,
Report sparks debate over bans on critical race theory,none / other,policy & legal,neutral,neutral,"""sparks debate"" seems more neutral"
Letter to the Editor : CRT is racism,none / other,threats/extent,anti-CRT,anti-CRT,
10 Things in Politics : Educators Scramble Over CRT,educational practitioners,protest / speaking out,neutral,neutral,
Local Parents Speak Out Against Critical Race Theory | News Radio 101 . 9 Big WAAX,impacted actors,protest / speaking out,anti-CRT,neutral,
DeSantis hopes to block Critical Race Theory from Florida classrooms,political influencers,policy & legal,anti-CRT,neutral,
Guest commentary : Legislation on critical race theory isnt a good idea,political influencers,policy & legal,defending CRT,defending CRT,
Racist CRT Lessons in Public School Classrooms,none / other,threats/extent,anti-CRT,anti-CRT,
Black Senators Walk Out As Mississippi Lawmakers Pass A Bill To Ban Critical Race Theory,political influencers,protest / speaking out,defending CRT,neutral,
New Report Shatters Media Lie That CRT Isnt Taught In Virginia Schools,political influencers,threats/extent,anti-CRT,anti-CRT,
Kristi Noem Pens Bill Blocking Critical Race Theory in South Dakota Schools,political influencers,policy & legal,anti-CRT,neutral,
Republicans unveil bill to ban federal funding of critical race theory,political influencers,policy & legal,anti-CRT,neutral,
Florida bans  critical race theory  from its classrooms,political influencers,policy & legal,anti-CRT,neutral,
GOP : The Fight Against Critical Race Theory Has Only Just Begun,political influencers,none/other,anti-CRT,anti-CRT,
Thomas Gallatin : Backlash Against CRT Is Growing The Patriot Post,political influencers,protest / speaking out,anti-CRT,neutral,
"CRT : What it is , what to do",none / other,none/other,neutral,neutral,
Critical race theory : The education trap,none / other,threats/extent,anti-CRT,anti-CRT,
The Controversy Over Critical Race Theory Is Creeping Into Kansas Schools,educational practitioners,policy & legal,neutral,neutral,"""controversy"", doesnt say whether for or against"
Republicans Move Against Teaching Critical Race Theory in Schools,political influencers,policy & legal,anti-CRT,neutral,
PODCAST : 05 . 22 - Critical Race Theory,none / other,none/other,neutral,neutral,
Stand Up And Demand Accountability : Tulsa Schools Warned For Violating CRT Ban,none / other,protest / speaking out,anti-CRT,anti-CRT,not sure about actor
Gov . Youngkin Defends Ending CRT In Virginia School Children Education,political influencers,protest / speaking out,anti-CRT,neutral,
Banned Florida Math Books : See Examples of CRT in Textbooks – NBC 6 South Florida,none / other,threats/extent,anti-CRT,neutral,
Joe Biden Wants to Take Critical Race Theory to the Next Level,political influencers,none/other,defending CRT,anti-CRT,
Anti - CRT  school board candidates are winning,political influencers,elections,anti-CRT,neutral,
"Critical race theory : Myths , Marxism and more",none / other,none/other,neutral,neutral,
Mom At Center Of CRT Revelations :  Parents Are Not Domestic Terrorists,impacted actors,protest / speaking out,anti-CRT,anti-CRT,
Critical race theory undermines military effectiveness,none / other,none/other,anti-CRT,anti-CRT,
The Battle Against Critical Race Theory,none / other,protest / speaking out,anti-CRT,anti-CRT,
"Masks , critical race theory affecting school board races",political influencers,elections,anti-CRT,neutral,
New e - book aims to help parents  combat  CRT in schools,impacted actors,protest / speaking out,anti-CRT,anti-CRT,
